type,policy_logps,reference_logps,rewards,lengths
rejected,-90.19668579101562,-75.54420471191406,-1.4652481079101562,-119
chosen,-10.531012535095215,-6.18076753616333,-0.4350244998931885,-11
rejected,-99.01181030273438,-82.65300750732422,-1.6358803510665894,23
chosen,-133.0425262451172,-101.00751495361328,-3.2035012245178223,-129
rejected,-136.69766235351562,-115.90313720703125,-2.0794525146484375,-118
chosen,-43.452415466308594,-31.87999153137207,-1.1572424173355103,-31
rejected,-58.352561950683594,-30.558740615844727,-2.7793822288513184,-38
chosen,-221.40371704101562,-208.3721923828125,-1.3031524419784546,91
rejected,-60.22925567626953,-56.630653381347656,-0.35986024141311646,9
chosen,-15.891120910644531,-5.115495681762695,-1.0775625705718994,-230
rejected,-19.96388816833496,-7.676575183868408,-1.228731393814087,-230
chosen,-39.319766998291016,-26.832862854003906,-1.2486904859542847,-13
rejected,-38.10192108154297,-21.863162994384766,-1.6238758563995361,-17
chosen,-28.415504455566406,-31.288917541503906,0.28734132647514343,-390
rejected,-117.179931640625,-95.14225006103516,-2.203768253326416,-363
chosen,-130.3003387451172,-115.58700561523438,-1.471333384513855,-54
rejected,-92.28016662597656,-87.97461700439453,-0.43055495619773865,-59
chosen,-47.01791000366211,-34.29859161376953,-1.2719318866729736,5
rejected,-48.52307891845703,-36.14862060546875,-1.2374458312988281,6
chosen,-124.75106811523438,-98.181396484375,-2.6569671630859375,-35
rejected,-61.333744049072266,-35.23396301269531,-2.609978199005127,-63
chosen,-42.88808059692383,-39.68553924560547,-0.3202541470527649,-92
rejected,-74.7496337890625,-65.0826187133789,-0.9667015075683594,-95
chosen,-164.61114501953125,-157.66603088378906,-0.6945114135742188,-78
rejected,-64.75489807128906,-49.07638931274414,-1.567850947380066,-122
chosen,-136.04946899414062,-124.26805877685547,-1.1781409978866577,-213
rejected,-188.5635986328125,-172.73773193359375,-1.582586646080017,-189
chosen,-27.57349395751953,-21.915407180786133,-0.5658087134361267,-220
rejected,-31.834041595458984,-20.597000122070312,-1.123704195022583,-99
chosen,-167.6964874267578,-149.1158447265625,-1.8580642938613892,55
rejected,-46.90770721435547,-12.065958976745605,-3.4841747283935547,-6
chosen,-239.18954467773438,-221.10641479492188,-1.808313012123108,17
rejected,-58.63484191894531,-51.420509338378906,-0.7214332818984985,-79
chosen,-35.421531677246094,-26.367046356201172,-0.9054485559463501,-261
rejected,-21.750282287597656,-21.716150283813477,-0.0034132003784179688,-259
chosen,-75.37102508544922,-75.59724426269531,0.022621918469667435,-259
rejected,-32.65357971191406,-25.74872589111328,-0.690485417842865,-298
chosen,-120.07283020019531,-115.42631530761719,-0.464651495218277,-61
rejected,-126.3365478515625,-103.78081512451172,-2.255573272705078,-60
chosen,-245.68576049804688,-212.9734344482422,-3.2712326049804688,93
rejected,-50.019378662109375,-49.101531982421875,-0.09178467094898224,3
chosen,-206.68161010742188,-200.0262451171875,-0.6655365228652954,32
rejected,-46.33100891113281,-38.797119140625,-0.7533890008926392,-67
chosen,-180.86175537109375,-170.07342529296875,-1.078832983970642,-254
rejected,-177.95132446289062,-170.642333984375,-0.7308990359306335,-252
chosen,-89.62971496582031,-70.50259399414062,-1.9127120971679688,9
rejected,-182.28662109375,-151.39512634277344,-3.0891494750976562,21
chosen,-231.6298370361328,-225.05062866210938,-0.6579208374023438,-42
rejected,-241.17578125,-225.46383666992188,-1.5711945295333862,-14
chosen,-91.35147094726562,-82.23109436035156,-0.9120376706123352,-311
rejected,-19.319957733154297,-16.790760040283203,-0.2529197633266449,-351
chosen,-122.73765563964844,-124.7308120727539,0.1993156522512436,-132
rejected,-91.85892486572266,-83.25540161132812,-0.8603523373603821,-173
chosen,-120.10563659667969,-106.31482696533203,-1.3790810108184814,-262
rejected,-147.3594207763672,-126.77735900878906,-2.05820631980896,-273
chosen,-18.893142700195312,-11.151013374328613,-0.7742129564285278,-242
rejected,-1.3813095092773438,-0.8236968517303467,-0.05576126649975777,-246
chosen,-56.35973358154297,-38.60712432861328,-1.7752609252929688,7
rejected,-66.96989440917969,-53.45973205566406,-1.3510162830352783,7
chosen,-33.76142120361328,-18.016836166381836,-1.5744584798812866,-203
rejected,-84.61321258544922,-80.58454132080078,-0.4028671383857727,-169
chosen,-13.439295768737793,-11.722736358642578,-0.17165593802928925,-9
rejected,-117.41669464111328,-89.0964584350586,-2.8320236206054688,20
chosen,-112.80064392089844,-112.529052734375,-0.02715911902487278,-271
rejected,-188.4409637451172,-177.32827758789062,-1.1112686395645142,-224
