type,policy_logps,reference_logps,rewards,lengths
rejected,-166.35972595214844,-103.78081512451172,-6.2578911781311035,-60
chosen,-265.2249755859375,-212.9734344482422,-5.225154399871826,93
rejected,-80.57307434082031,-49.101531982421875,-3.1471543312072754,3
chosen,-217.48495483398438,-200.0262451171875,-1.7458709478378296,32
rejected,-59.72982406616211,-38.797119140625,-2.0932705402374268,-67
chosen,-205.49114990234375,-170.07342529296875,-3.5417726039886475,-254
rejected,-191.68040466308594,-170.642333984375,-2.103807210922241,-252
chosen,-141.14169311523438,-70.50259399414062,-7.063910007476807,9
rejected,-233.08607482910156,-151.39512634277344,-8.169095039367676,21
chosen,-252.02825927734375,-225.05062866210938,-2.697763204574585,-42
rejected,-260.1744689941406,-225.46383666992188,-3.4710633754730225,-14
chosen,-101.92770385742188,-82.23109436035156,-1.969660997390747,-311
rejected,-36.329872131347656,-16.790760040283203,-1.9539111852645874,-351
chosen,-133.04763793945312,-124.7308120727539,-0.8316826224327087,-132
rejected,-111.66372680664062,-83.25540161132812,-2.840832471847534,-173
chosen,-138.75448608398438,-106.31482696533203,-3.2439658641815186,-262
rejected,-179.80955505371094,-126.77735900878906,-5.303219795227051,-273
chosen,-26.875537872314453,-11.151013374328613,-1.572452425956726,-242
rejected,-10.510513305664062,-0.8236968517303467,-0.9686816334724426,-246
chosen,-90.10755920410156,-38.60712432861328,-5.150043487548828,7
rejected,-88.75028228759766,-53.45973205566406,-3.529055118560791,7
chosen,-64.08389282226562,-18.016836166381836,-4.606705665588379,-203
rejected,-90.12689208984375,-80.58454132080078,-0.9542350769042969,-169
chosen,-25.719749450683594,-11.722736358642578,-1.3997013568878174,-9
rejected,-150.5160369873047,-89.0964584350586,-6.141957759857178,20
chosen,-137.3043212890625,-112.529052734375,-2.477526903152466,-271
rejected,-208.60812377929688,-177.32827758789062,-3.1279847621917725,-224
chosen,-106.74492645263672,-71.37234497070312,-3.5372581481933594,25
rejected,-130.85760498046875,-83.2091064453125,-4.76485013961792,24
chosen,-401.27398681640625,-341.3460693359375,-5.992791652679443,-152
rejected,-261.1443786621094,-193.88072204589844,-6.726365566253662,-198
chosen,-366.5240478515625,-332.4476623535156,-3.4076385498046875,-79
rejected,-344.7025451660156,-316.12652587890625,-2.8576018810272217,-89
chosen,-39.46934509277344,-24.282718658447266,-1.518662691116333,-290
rejected,-117.24464416503906,-105.81002807617188,-1.1434615850448608,-250
chosen,-273.0046691894531,-218.28883361816406,-5.471583843231201,79
rejected,-82.17377471923828,-10.874503135681152,-7.129927158355713,-10
chosen,-128.2403106689453,-102.24623107910156,-2.599407911300659,-204
rejected,-207.0125732421875,-177.6062774658203,-2.940629720687866,-158
chosen,-154.7682647705078,-122.74402618408203,-3.2024238109588623,48
rejected,-77.53318786621094,-31.253005981445312,-4.628018379211426,4
chosen,-78.17193603515625,-17.845884323120117,-6.032605171203613,-85
rejected,-108.0113525390625,-60.03562545776367,-4.797572612762451,-60
chosen,-29.565828323364258,-9.592911720275879,-1.9972915649414062,-6
rejected,-103.94506072998047,-67.36492919921875,-3.658013105392456,16
chosen,-331.5869140625,-288.9722900390625,-4.261462688446045,114
rejected,-113.81694030761719,-37.94780731201172,-7.586913585662842,2
chosen,-75.62200927734375,-37.83832931518555,-3.7783679962158203,-53
rejected,-164.53890991210938,-110.58938598632812,-5.394952297210693,-16
chosen,-94.83692932128906,-77.5224380493164,-1.7314491271972656,32
rejected,-76.08846282958984,-39.093910217285156,-3.6994552612304688,-2
chosen,-155.56060791015625,-101.97620391845703,-5.358440399169922,-3
rejected,-214.56640625,-195.59109497070312,-1.8975311517715454,62
chosen,-47.147727966308594,-5.121645450592041,-4.202608108520508,-95
rejected,-79.41382598876953,-21.04828453063965,-5.836554050445557,-85
chosen,-656.0054321289062,-592.3046264648438,-6.370080471038818,256
rejected,-620.1287841796875,-580.5706176757812,-3.9558167457580566,245
chosen,-70.3180160522461,-28.122802734375,-4.219521522521973,-246
rejected,-240.77476501464844,-199.43809509277344,-4.1336669921875,-162
chosen,-28.884517669677734,-17.866554260253906,-1.1017963886260986,-305
rejected,-23.046573638916016,-1.8067468404769897,-2.1239826679229736,-317
chosen,-103.77714538574219,-70.7494125366211,-3.3027732372283936,-71
rejected,-72.38706970214844,-45.396392822265625,-2.6990678310394287,-70
chosen,-118.38594818115234,-95.25468444824219,-2.3131263256073,-113
rejected,-130.73245239257812,-90.29627227783203,-4.043618202209473,-112
chosen,-264.1279296875,-241.0531463623047,-2.307478427886963,-62
rejected,-235.0662841796875,-212.5034942626953,-2.2562789916992188,-78
chosen,-91.4359359741211,-51.26497268676758,-4.017096519470215,-415
rejected,-138.80470275878906,-74.40657043457031,-6.439813137054443,-403
chosen,-168.14271545410156,-119.14097595214844,-4.900174140930176,44
rejected,-142.6763916015625,-65.01038360595703,-7.766601085662842,22
chosen,-108.23226165771484,-78.48374938964844,-2.974851369857788,10
rejected,-79.06065368652344,-16.056180953979492,-6.3004469871521,-10
chosen,-227.3499755859375,-177.9409637451172,-4.940901279449463,-232
rejected,-178.68057250976562,-139.4077606201172,-3.927281141281128,-254
chosen,-375.38385009765625,-333.8692321777344,-4.151462078094482,153
rejected,-218.7260284423828,-189.95736694335938,-2.876866102218628,78
chosen,-143.37698364257812,-118.0010986328125,-2.537588596343994,-268
rejected,-76.89035034179688,-50.68199920654297,-2.620835065841675,-307
chosen,-226.05633544921875,-189.50527954101562,-3.6551055908203125,-50
rejected,-249.85357666015625,-219.8404541015625,-3.001312255859375,-45
chosen,-198.1544189453125,-172.52944946289062,-2.5624969005584717,-95
rejected,-150.1032257080078,-103.53595733642578,-4.656726837158203,-140
chosen,-444.9715270996094,-408.0364074707031,-3.693511962890625,44
rejected,-354.97686767578125,-319.61737060546875,-3.53594970703125,-4
chosen,-82.9432601928711,-31.726558685302734,-5.121670246124268,-1
rejected,-82.23229217529297,-29.053936004638672,-5.317835807800293,5
chosen,-2.469913959503174,-1.995180368423462,-0.04747335985302925,-197
rejected,-37.260963439941406,-12.861745834350586,-2.4399218559265137,-189
chosen,-47.11729431152344,-31.976022720336914,-1.5141271352767944,3
rejected,-60.13032150268555,-14.651357650756836,-4.547896862030029,-10
chosen,-67.49421691894531,-50.06546401977539,-1.742875337600708,-39
rejected,-41.38615036010742,-10.08177661895752,-3.1304376125335693,-62
chosen,-184.9162139892578,-170.76095581054688,-1.4155257940292358,31
rejected,-161.10903930664062,-113.81137084960938,-4.729766845703125,-60
chosen,-53.240509033203125,-25.954181671142578,-2.728632688522339,-257
rejected,-91.09634399414062,-46.071746826171875,-4.50246000289917,-236
chosen,-520.7335205078125,-485.283203125,-3.545031785964966,-3
rejected,-588.861328125,-523.0372314453125,-6.582409858703613,0
chosen,-189.32394409179688,-136.93780517578125,-5.238614082336426,-229
rejected,-135.804443359375,-66.84381103515625,-6.896063327789307,-261
chosen,-136.0582275390625,-112.35002136230469,-2.3708207607269287,-75
rejected,-105.06643676757812,-32.909706115722656,-7.215672969818115,-131
chosen,-402.61431884765625,-390.5820007324219,-1.2032318115234375,-107
rejected,-335.5542297363281,-325.390380859375,-1.0163849592208862,-137
chosen,-77.39842224121094,-34.74186706542969,-4.265655517578125,2
rejected,-81.62946319580078,-23.509376525878906,-5.812008857727051,-9
chosen,-77.51848602294922,-49.436126708984375,-2.8082358837127686,18
rejected,-237.27203369140625,-187.86614990234375,-4.940588474273682,71
chosen,-210.457763671875,-131.4299774169922,-7.902778625488281,-204
rejected,-161.93719482421875,-96.54931640625,-6.538787841796875,-211
chosen,-249.85531616210938,-206.9652862548828,-4.289002895355225,42
rejected,-80.1289291381836,-25.943397521972656,-5.418553352355957,-26
chosen,-44.8204345703125,-22.970199584960938,-2.185023546218872,-232
rejected,-66.62883758544922,-45.1136360168457,-2.151520252227783,-228
chosen,-40.2260856628418,-20.38309669494629,-1.9842989444732666,-16
rejected,-58.261566162109375,-25.222747802734375,-3.303881883621216,-7
chosen,-199.5863037109375,-179.41751098632812,-2.0168793201446533,67
rejected,-177.5247039794922,-144.0885009765625,-3.3436203002929688,40
chosen,-235.06356811523438,-215.20652770996094,-1.9857040643692017,115
rejected,-316.9894714355469,-271.7508850097656,-4.523858547210693,145
chosen,-191.91236877441406,-166.3193817138672,-2.5592987537384033,-166
rejected,-112.42189025878906,-79.16193389892578,-3.325995683670044,-206
chosen,-78.73844909667969,-27.487472534179688,-5.125097751617432,-9
rejected,-69.68672180175781,-15.688714981079102,-5.399800777435303,-12
chosen,-45.63771057128906,-19.800500869750977,-2.5837209224700928,-242
rejected,-69.11375427246094,-17.373119354248047,-5.174063682556152,-237
chosen,-137.1019287109375,-108.29204559326172,-2.880988359451294,-192
rejected,-338.07171630859375,-257.5152282714844,-8.055648803710938,-116
chosen,-164.16580200195312,-82.35623168945312,-8.180956840515137,-74
rejected,-166.60946655273438,-81.88665771484375,-8.472281455993652,-71
chosen,-274.4161376953125,-225.82452392578125,-4.859161376953125,237
rejected,-167.9016571044922,-142.8499755859375,-2.5051681995391846,33
chosen,-258.94549560546875,-231.57913208007812,-2.7366364002227783,102
rejected,-111.09988403320312,-67.46553039550781,-4.3634352684021,26
chosen,-107.29417419433594,-87.5583267211914,-1.973584771156311,-99
rejected,-182.26101684570312,-140.58551025390625,-4.167550563812256,-77
chosen,-69.70530700683594,-47.7022590637207,-2.2003047466278076,-1
rejected,-134.36402893066406,-75.24977111816406,-5.911426067352295,35
chosen,-118.48639678955078,-107.52083587646484,-1.0965560674667358,4
rejected,-69.27638244628906,-11.73660945892334,-5.753977298736572,-43
chosen,-147.89244079589844,-101.62945556640625,-4.626298427581787,27
rejected,-41.052894592285156,-18.296499252319336,-2.275639533996582,-4
chosen,-180.01611328125,-141.6274871826172,-3.838862657546997,-61
rejected,-148.86459350585938,-122.18942260742188,-2.6675171852111816,-75
chosen,-36.87620544433594,-19.540775299072266,-1.733543038368225,-109
rejected,-122.99960327148438,-89.44003295898438,-3.35595703125,-80
chosen,-215.23660278320312,-150.24075317382812,-6.499585151672363,106
rejected,-77.1490707397461,-56.611976623535156,-2.0537095069885254,12
chosen,-382.70269775390625,-354.2804870605469,-2.8422210216522217,165
rejected,-92.74005126953125,-11.510509490966797,-8.122954368591309,-13
chosen,-319.2153625488281,-266.3040771484375,-5.291128635406494,-207
rejected,-131.8888397216797,-79.9393310546875,-5.194951057434082,-311
chosen,-39.93586730957031,-19.23859214782715,-2.069727659225464,-234
rejected,-45.942344665527344,-12.833438873291016,-3.3108906745910645,-236
chosen,-91.08576202392578,-63.15349578857422,-2.793226718902588,13
rejected,-194.7161865234375,-163.58651733398438,-3.112967014312744,40
