type,policy_logps,reference_logps,rewards,lengths
chosen,-34.86349868774414,-21.99365234375,-1.2869846820831299,-246
rejected,-29.02589225769043,-25.12323570251465,-0.39026567339897156,-240
chosen,-24.086261749267578,-24.16716766357422,0.008090591989457607,-48
rejected,-48.77687454223633,-49.81239700317383,0.10355224460363388,-41
chosen,-542.5633544921875,-534.1898193359375,-0.837353527545929,257
rejected,-392.610107421875,-385.051025390625,-0.755908191204071,185
chosen,-93.6283950805664,-94.11823272705078,0.04898376390337944,-64
rejected,-125.28400421142578,-130.85421752929688,0.5570213198661804,-25
chosen,-7.834074974060059,-8.756526947021484,0.0922451987862587,-14
rejected,-29.70912742614746,-24.508089065551758,-0.5201038718223572,-9
chosen,-187.76214599609375,-179.51046752929688,-0.8251678347587585,43
rejected,-84.10951232910156,-79.96478271484375,-0.4144729673862457,-12
chosen,-28.720394134521484,-24.587133407592773,-0.41332608461380005,-199
rejected,-98.26458740234375,-90.52338409423828,-0.7741203308105469,-176
chosen,-43.204978942871094,-31.53748893737793,-1.1667490005493164,-284
rejected,-36.70722198486328,-31.756559371948242,-0.49506625533103943,-277
chosen,-45.648136138916016,-33.48197937011719,-1.2166156768798828,-150
rejected,-135.37322998046875,-115.01652526855469,-2.035670518875122,-107
chosen,-28.420045852661133,-19.68478012084961,-0.8735265731811523,-9
rejected,-75.35198974609375,-64.91545104980469,-1.0436538457870483,21
chosen,-37.39170455932617,-37.45872116088867,0.006701660342514515,-158
rejected,-175.31088256835938,-174.65469360351562,-0.06561889499425888,-40
chosen,-89.13452911376953,-80.48971557617188,-0.8644813895225525,-329
rejected,-231.90536499023438,-211.02200317382812,-2.088336229324341,-257
chosen,-95.0491714477539,-90.43282318115234,-0.4616348445415497,-23
rejected,-56.96101379394531,-47.578853607177734,-0.9382160305976868,-53
chosen,-65.27517700195312,-58.343021392822266,-0.693215548992157,-39
rejected,-123.24909973144531,-111.8686752319336,-1.1380424499511719,-31
chosen,-61.72863006591797,-60.743751525878906,-0.09848785400390625,-27
rejected,-33.18772888183594,-21.95229721069336,-1.1235431432724,-49
chosen,-60.043701171875,-52.48679733276367,-0.7556903958320618,-5
rejected,-376.30755615234375,-336.6317138671875,-3.9675843715667725,154
chosen,-19.546428680419922,-18.40038299560547,-0.11460456997156143,-22
rejected,-139.92977905273438,-123.99995422363281,-1.592982530593872,22
chosen,-294.90692138671875,-291.17181396484375,-0.3735107481479645,0
rejected,-242.73471069335938,-243.08273315429688,0.03480224683880806,-124
chosen,-45.373085021972656,-42.55403137207031,-0.2819053828716278,6
rejected,-84.55647277832031,-61.743289947509766,-2.281318426132202,5
chosen,-2.941663980484009,-4.182542324066162,0.12408783286809921,-123
rejected,-134.6302032470703,-124.70866394042969,-0.9921539425849915,-65
chosen,-99.87689208984375,-96.9232177734375,-0.29536744952201843,-179
rejected,-316.0386657714844,-309.559814453125,-0.6478851437568665,-69
chosen,-73.81559753417969,-71.49120330810547,-0.23243942856788635,-144
rejected,-22.986419677734375,-20.462337493896484,-0.2524082362651825,-155
chosen,-66.244140625,-54.57404708862305,-1.1670093536376953,-8
rejected,-79.09243774414062,-62.98040771484375,-1.6112030744552612,-13
chosen,-128.34002685546875,-125.8866958618164,-0.24533310532569885,-126
rejected,-370.87847900390625,-358.93902587890625,-1.193945288658142,-10
chosen,-192.3148651123047,-193.09017944335938,0.07753143459558487,-189
rejected,-108.92845153808594,-106.38751220703125,-0.2540939450263977,-206
chosen,-116.65538024902344,-101.32600402832031,-1.5329376459121704,-239
rejected,-124.5037841796875,-128.47628784179688,0.39725038409233093,-198
chosen,-135.9853973388672,-132.92205810546875,-0.3063339293003082,-215
rejected,-66.30805206298828,-58.20683288574219,-0.8101219534873962,-197
chosen,-190.28085327148438,-185.63827514648438,-0.4642578065395355,-70
rejected,-83.60408020019531,-75.54420471191406,-0.805987536907196,-119
chosen,-16.26608657836914,-6.18076753616333,-1.008531928062439,-11
rejected,-101.59230041503906,-82.65300750732422,-1.893929362297058,23
chosen,-112.08082580566406,-101.00751495361328,-1.1073311567306519,-129
rejected,-119.06036376953125,-115.90313720703125,-0.31572267413139343,-118
chosen,-37.40727996826172,-31.87999153137207,-0.5527288317680359,-31
rejected,-45.68646240234375,-30.558740615844727,-1.5127722024917603,-38
chosen,-213.15383911132812,-208.3721923828125,-0.4781646728515625,91
rejected,-60.30924606323242,-56.630653381347656,-0.36785927414894104,9
chosen,-13.03023910522461,-5.115495681762695,-0.7914743423461914,-230
rejected,-19.317716598510742,-7.676575183868408,-1.164114236831665,-230
chosen,-35.26192855834961,-26.832862854003906,-0.8429065942764282,-13
rejected,-34.44054412841797,-21.863162994384766,-1.2577381134033203,-17
chosen,-29.227582931518555,-31.288917541503906,0.20613346993923187,-390
rejected,-103.25171661376953,-95.14225006103516,-0.8109466433525085,-363
chosen,-121.64117431640625,-115.58700561523438,-0.6054168939590454,-54
rejected,-87.1777572631836,-87.97461700439453,0.07968597859144211,-59
chosen,-41.86664962768555,-34.29859161376953,-0.7568058371543884,5
rejected,-47.14476776123047,-36.14862060546875,-1.0996147394180298,6
chosen,-117.12040710449219,-98.181396484375,-1.8939011096954346,-35
rejected,-53.356101989746094,-35.23396301269531,-1.8122138977050781,-63
chosen,-38.753299713134766,-39.68553924560547,0.0932239517569542,-92
rejected,-70.40123748779297,-65.0826187133789,-0.5318619012832642,-95
chosen,-157.75242614746094,-157.66603088378906,-0.008639526553452015,-78
rejected,-57.123138427734375,-49.07638931274414,-0.8046749234199524,-122
chosen,-131.8513641357422,-124.26805877685547,-0.7583305239677429,-213
rejected,-181.01983642578125,-172.73773193359375,-0.8282104730606079,-189
chosen,-30.537792205810547,-21.915407180786133,-0.8622385263442993,-220
rejected,-22.47681427001953,-20.597000122070312,-0.18798141181468964,-99
chosen,-154.79330444335938,-149.1158447265625,-0.5677459836006165,55
rejected,-37.85406494140625,-12.065958976745605,-2.578810453414917,-6
chosen,-227.33233642578125,-221.10641479492188,-0.6225921511650085,17
rejected,-58.97626495361328,-51.420509338378906,-0.7555755972862244,-79
chosen,-37.64740753173828,-26.367046356201172,-1.1280361413955688,-261
rejected,-25.29189109802246,-21.716150283813477,-0.35757407546043396,-259
chosen,-74.7904052734375,-75.59724426269531,0.08068390190601349,-259
rejected,-35.173336029052734,-25.74872589111328,-0.9424610137939453,-298
chosen,-113.23055267333984,-115.42631530761719,0.21957626938819885,-61
rejected,-117.57510375976562,-103.78081512451172,-1.3794288635253906,-60
chosen,-229.29183959960938,-212.9734344482422,-1.6318405866622925,93
rejected,-53.55841827392578,-49.101531982421875,-0.4456886351108551,3
chosen,-200.1126251220703,-200.0262451171875,-0.008638001047074795,32
rejected,-43.47208023071289,-38.797119140625,-0.4674961268901825,-67
chosen,-175.2056121826172,-170.07342529296875,-0.5132187008857727,-254
rejected,-173.9352569580078,-170.642333984375,-0.32929229736328125,-252
chosen,-71.82183074951172,-70.50259399414062,-0.13192367553710938,9
rejected,-160.02273559570312,-151.39512634277344,-0.8627609610557556,21
chosen,-226.702392578125,-225.05062866210938,-0.1651763916015625,-42
rejected,-232.83798217773438,-225.46383666992188,-0.737414538860321,-14
chosen,-86.00537109375,-82.23109436035156,-0.3774276673793793,-311
rejected,-19.549583435058594,-16.790760040283203,-0.2758823335170746,-351
chosen,-121.24766540527344,-124.7308120727539,0.34831467270851135,-132
rejected,-91.6083984375,-83.25540161132812,-0.8352996706962585,-173
chosen,-115.57257080078125,-106.31482696533203,-0.9257743954658508,-262
rejected,-143.79022216796875,-126.77735900878906,-1.7012863159179688,-273
chosen,-25.01154327392578,-11.151013374328613,-1.3860529661178589,-242
rejected,-0.6382644772529602,-0.8236968517303467,0.018543237820267677,-246
chosen,-49.674652099609375,-38.60712432861328,-1.1067527532577515,7
rejected,-62.60198211669922,-53.45973205566406,-0.9142250418663025,7
chosen,-28.306556701660156,-18.016836166381836,-1.0289720296859741,-203
rejected,-81.62617492675781,-80.58454132080078,-0.10416336357593536,-169
chosen,-14.50067138671875,-11.722736358642578,-0.2777934968471527,-9
rejected,-100.19735717773438,-89.0964584350586,-1.110089898109436,20
chosen,-111.09893798828125,-112.529052734375,0.14301148056983948,-271
rejected,-181.5023193359375,-177.32827758789062,-0.4174041748046875,-224
chosen,-78.93807220458984,-71.37234497070312,-0.7565727233886719,25
rejected,-100.04252624511719,-83.2091064453125,-1.6833419799804688,24
chosen,-349.91455078125,-341.3460693359375,-0.8568481802940369,-152
rejected,-196.88772583007812,-193.88072204589844,-0.3007003962993622,-198
chosen,-339.6563720703125,-332.4476623535156,-0.7208709716796875,-79
rejected,-323.3724365234375,-316.12652587890625,-0.724591076374054,-89
chosen,-26.176395416259766,-24.282718658447266,-0.18936768174171448,-290
rejected,-103.22807312011719,-105.81002807617188,0.2581954896450043,-250
chosen,-235.36444091796875,-218.28883361816406,-1.7075607776641846,79
rejected,-31.996315002441406,-10.874503135681152,-2.1121811866760254,-10
chosen,-107.07081604003906,-102.24623107910156,-0.4824585020542145,-204
rejected,-186.8597412109375,-177.6062774658203,-0.9253463745117188,-158
chosen,-128.5425567626953,-122.74402618408203,-0.5798530578613281,48
rejected,-39.9864501953125,-31.253005981445312,-0.8733444213867188,4
chosen,-30.183717727661133,-17.845884323120117,-1.2337833642959595,-85
rejected,-72.14405059814453,-60.03562545776367,-1.210842490196228,-60
chosen,-12.62387752532959,-9.592911720275879,-0.30309659242630005,-6
rejected,-74.87393188476562,-67.36492919921875,-0.7509002685546875,16
chosen,-301.1439208984375,-288.9722900390625,-1.2171630859375,114
rejected,-64.59207153320312,-37.94780731201172,-2.664426565170288,2
chosen,-44.9029541015625,-37.83832931518555,-0.7064625024795532,-53
rejected,-112.70863342285156,-110.58938598632812,-0.211924746632576,-16
chosen,-76.5298843383789,-77.5224380493164,0.09925537556409836,32
rejected,-53.03447341918945,-39.093910217285156,-1.3940563201904297,-2
chosen,-117.58235168457031,-101.97620391845703,-1.560614824295044,-3
rejected,-195.8590087890625,-195.59109497070312,-0.02679138258099556,62
chosen,-7.333799362182617,-5.121645450592041,-0.2212153971195221,-95
rejected,-26.362791061401367,-21.04828453063965,-0.5314506888389587,-85
chosen,-603.1226806640625,-592.3046264648438,-1.0818054676055908,256
rejected,-592.4171142578125,-580.5706176757812,-1.1846497058868408,245
chosen,-32.25076675415039,-28.122802734375,-0.41279640793800354,-246
rejected,-211.30209350585938,-199.43809509277344,-1.1863998174667358,-162
chosen,-18.656204223632812,-17.866554260253906,-0.07896500080823898,-305
rejected,-4.2738447189331055,-1.8067468404769897,-0.24670977890491486,-317
chosen,-76.94595336914062,-70.7494125366211,-0.61965411901474,-71
rejected,-45.461849212646484,-45.396392822265625,-0.006545639131218195,-70
chosen,-100.5377197265625,-95.25468444824219,-0.5283035635948181,-113
rejected,-91.14933013916016,-90.29627227783203,-0.08530578762292862,-112
chosen,-243.57867431640625,-241.0531463623047,-0.2525528073310852,-62
rejected,-212.53225708007812,-212.5034942626953,-0.00287628173828125,-78
chosen,-53.23435974121094,-51.26497268676758,-0.19693870842456818,-415
rejected,-79.171630859375,-74.40657043457031,-0.4765060544013977,-403
chosen,-129.95875549316406,-119.14097595214844,-1.0817779302597046,44
rejected,-88.04693603515625,-65.01038360595703,-2.3036553859710693,22
chosen,-84.51197814941406,-78.48374938964844,-0.6028228998184204,10
rejected,-30.44358253479004,-16.056180953979492,-1.4387401342391968,-10
chosen,-190.9232177734375,-177.9409637451172,-1.2982254028320312,-232
rejected,-145.30235290527344,-139.4077606201172,-0.589459240436554,-254
chosen,-349.2152099609375,-333.8692321777344,-1.5345977544784546,153
rejected,-207.45306396484375,-189.95736694335938,-1.7495697736740112,78
chosen,-128.278076171875,-118.0010986328125,-1.0276978015899658,-268
rejected,-65.87095642089844,-50.68199920654297,-1.5188957452774048,-307
chosen,-194.3747100830078,-189.50527954101562,-0.4869430661201477,-50
rejected,-228.87261962890625,-219.8404541015625,-0.903216540813446,-45
chosen,-168.77236938476562,-172.52944946289062,0.3757080137729645,-95
